geo_level,geo_name,year,pop_black_alone,pct_black_alone,pct_owner_occupied_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,median_monthly_housing_costs_owner_occupied_houses_with_mortages,median_monthly_housing_costs_owner_occupied_houses_without_mortages,median_real_estate_taxes_owner_occupied_houses_with_mortages,median_real_estate_taxes_owner_occupied_houses_without_mortages
zcta,37866,2021,0,0.0,0.0,270200,218900,1119,294,774,887
zcta,37869,2021,24,0.5,0.0,121000,78800,931,265,662,386
zcta,37870,2021,0,0.0,0.0,173200,77400,1182,310,910,513
zcta,37871,2021,133,1.5,0.0,161800,129600,1009,328,676,544
zcta,37872,2021,0,0.0,0.0,106500,96800,883,343,786,763
zcta,37873,2021,22,0.5,0.0,130600,98000,979,286,976,570
zcta,37874,2021,565,3.6,2.3,137700,133800,1040,330,660,680
zcta,37876,2021,416,1.3,0.0,219100,172500,1191,345,758,641
zcta,37877,2021,171,1.9,2.2,162500,132700,1122,321,795,654
zcta,37878,2021,0,0.0,0.0,165700,158000,967,250,,757
zcta,37879,2021,22,0.2,0.1,115100,109100,860,298,605,584
zcta,37880,2021,90,2.3,1.4,143900,190200,1113,343,704,525
zcta,37881,2021,0,0.0,0.0,136900,104000,872,279,724,393
zcta,37882,2021,23,0.8,0.9,324600,198500,1616,385,1524,1276
zcta,37885,2021,143,2.4,0.0,283200,189000,1288,371,1400,986
zcta,37886,2021,0,0.0,0.0,162200,199300,1065,394,967,1184
zcta,37887,2021,1159,16.0,0.0,92000,111300,917,356,639,787
zcta,37888,2021,0,0.0,0.0,124700,97200,967,275,860,421
zcta,37890,2021,12,0.2,0.0,140500,160700,1025,365,864,880
zcta,37891,2021,0,0.0,0.0,141600,95500,963,271,674,588
zcta,37892,2021,11,0.5,0.0,111000,90700,981,265,704,449
zcta,37902,2021,163,6.9,0.0,374600,452100,2175,870,3082,4479
zcta,37909,2021,857,5.3,1.3,215800,191500,1415,525,1825,2308
zcta,37912,2021,3638,16.7,11.9,145800,129000,1035,370,1145,1193
zcta,37914,2021,7891,38.5,32.6,146700,158600,1148,411,981,1079
zcta,37915,2021,2916,56.1,81.0,168200,173300,999,331,1301,1509
zcta,37916,2021,872,6.2,0.0,242700,248600,1213,,1207,
zcta,37917,2021,3396,13.2,7.3,142800,114800,1054,424,1105,1086
zcta,37918,2021,3022,6.5,2.7,180600,169500,1219,437,1101,1043
zcta,37919,2021,1453,4.9,0.9,366300,276500,1923,568,2580,1910
zcta,37920,2021,2680,6.4,2.0,153200,163100,1132,393,999,1033
zcta,37921,2021,5598,19.7,15.0,147600,137500,1123,422,1301,1057
zcta,37922,2021,1422,3.6,3.2,362900,361500,1811,492,1742,1766
zcta,37923,2021,2436,7.6,4.9,237200,220700,1445,434,1182,1139
zcta,37924,2021,1020,7.6,8.3,182200,142800,1229,329,837,768
zcta,37929,2021,0,,,,,,,,
zcta,37931,2021,1296,4.4,2.0,262900,226600,1515,381,1243,1085
zcta,37932,2021,357,1.8,1.9,299100,242400,1607,441,1431,1315
zcta,37934,2021,242,0.9,0.5,367200,345800,1783,522,1918,1680
zcta,37938,2021,235,1.4,0.4,232200,194800,1369,392,1131,930
